char,./datasets/fro/dev.tsv,./datasets/fro/test.tsv,./datasets/fro/train.tsv
!,24,32,187
"""",110,97,815
#,0,0,1
&,1,0,6
',1455,1508,11640
(,46,44,297
),42,40,287
*,0,0,1
",",11883,12883,98533
-,44,61,462
.,11197,12020,92350
/,0,0,1
0,0,0,2
1,0,4,14
2,0,0,5
3,0,0,3
4,0,0,4
5,0,1,2
6,0,1,3
7,2,0,1
8,0,0,3
9,1,1,13
:,517,520,4113
;,391,402,3162
>,0,0,2
?,12,32,162
A,555,600,4470
B,569,582,4610
C,717,805,5913
D,467,498,3818
E,837,904,7418
F,276,268,1955
G,527,564,4126
H,141,106,1022
I,195,207,1558
J,613,660,5212
K,19,15,108
L,566,585,4371
M,656,677,5071
N,210,230,1719
O,93,100,643
P,1198,1308,9850
Q,74,68,716
R,329,370,2653
S,682,734,5456
T,321,336,2534
U,17,24,127
V,225,216,1778
W,3,4,27
X,85,101,774
Y,31,26,207
Z,0,0,1
[,58,82,578
],58,85,569
^,0,0,1
a,37067,40030,303385
b,4223,4372,33157
c,18916,20412,155785
d,21237,22893,173578
e,94395,101406,772221
f,6062,6536,50155
g,5199,5410,41490
h,4786,5027,38905
i,43699,47098,359258
j,1432,1699,12536
k,56,53,382
l,30448,32638,248068
m,12795,14059,105487
n,41273,44196,337358
o,33662,36159,274444
p,14075,15249,115924
q,6489,7179,54554
r,37254,39990,303737
s,47453,51286,390740
t,46209,49653,378983
u,35608,38879,295314
v,6827,7301,55642
w,7,6,65
x,1912,2194,16023
y,3019,3294,24531
z,4276,4542,34727
§,9,8,44
«,104,106,812
°,0,4,17
·,4,3,27
º,0,1,1
»,105,110,784
À,0,0,6
Ç,0,1,0
È,0,0,1
É,0,1,1
à,2402,2762,20076
â,2,4,32
ã,0,0,5
ç,200,211,1594
è,1139,1143,9254
é,3188,3517,26425
ê,1,0,5
ë,3,2,22
ì,0,1,2
í,0,0,7
î,0,0,3
ï,136,168,1202
ñ,0,1,1
ó,1,0,1
ô,0,0,5
õ,2,2,6
÷,2,0,10
ù,134,159,1128
ú,0,0,1
û,1,0,5
ü,0,1,1
ā,3,9,56
ē,23,25,180
ĩ,22,14,100
ī,1,1,1
ı,2,0,11
ĳ,0,1,7
ō,14,8,87
œ,0,4,12
ť,0,0,1
ŧ,0,0,1
ū,2,2,13
ſ,3,3,16
ƺ,3,0,0
ɑ,0,1,1
ʑ,0,0,1
ˢ,0,3,2
̀,0,1,0
́,255,259,1991
̃,223,228,1768
̄,2,0,6
̅,3,5,37
̇,0,0,7
̈,0,0,1
̉,1,0,2
͛,59,53,403
ͣ,50,45,363
ͤ,7,6,61
ͥ,43,44,327
ͦ,6,3,37
ͧ,1,0,6
ͬ,0,0,3
δ,0,0,3
ο,0,0,4
а,3,0,6
о,1,0,2
с,1,0,0
ᵈ,0,1,1
ᵉ,0,1,10
᷑,9,7,89
᷒,0,2,1
ᷣ,0,0,3
ᷤ,5,5,33
ṫ,1,0,8
ẏ,37,43,285
ẽ,3,2,10
ủ,0,0,1
—,66,64,534
’,2407,2594,19564
“,1,0,0
•,2,1,10
…,7,9,91
⁊,541,539,4367
⁹,12,24,190
ꝑ,69,84,580
ꝓ,2,2,22
ꝙ,0,0,7
ꝛ,0,4,13
ꝯ,70,76,508
ꝰ,0,1,6
,0,0,1
,1,0,1
,0,0,2
,0,0,8
,1,4,15
,0,0,1
,1,0,3
,0,0,1
,1,0,1
,0,0,4
,0,0,3
,0,0,1
,0,1,4
,1,0,1
,3,8,53
,70,65,529
,1,2,13
,1,0,2
,43,49,367
,0,0,1
,0,0,1
,0,0,2
193